##= Titles Localisation =##

#= Actual Titles =#
d_persiarmenia;Persarmenia;;;;;;;;;;;;x
d_persiarmenia;Persarmenian;;;;;;;;;;;;x
d_colchis;Colchis;;;;;;;;;;;;x
d_albania_cauc;Albania;;;;;;;;;;;;x
k_caucasus;Caucasus;;;;;;;;;;;;x
d_iberia;Iberia;;;;;;;;;;;;x
d_nabataean_reformed;Betylitic Order;;;;;;;;;;;;x
d_nabataean_reformed_adj;Betylitic;;;;;;;;;;;;x
d_sayhadic_reformed;The Munaqisayyum;;;;;;;;;;;;x
d_sayhadic_reformed_adj;Sayhadic;;;;;;;;;;;;x
e_ptolemaic;Ptolemaic Empire;;;;;;;;;;;;x
e_ptolemaic_adj;Ptolemaic;;;;;;;;;;;;x
c_ammon;Ammon;;;;;;;;;;;;x
b_ammon;Ammon;;;;;;;;;;;;x
b_gonia;Gonia;;;;;;;;;;;;x
b_plynos_limen;Plynos Limen;;;;;;;;;;;;x
c_serapion;Serapion;;;;;;;;;;;;x
b_serapion;Serapion;;;;;;;;;;;;x
b_kainon;Kainon;;;;;;;;;;;;x
b_noetu;Noetu;;;;;;;;;;;;x
b_amastor;Amastor;;;;;;;;;;;;x
b_agdon;Agdon;;;;;;;;;;;;x
c_barke;Barke;;;;;;;;;;;;x
b_barke;Barke;;;;;;;;;;;;x
b_chairekla;Chairekla;;;;;;;;;;;;x
b_balagrai;Balagrai;;;;;;;;;;;;x
b_hesperidon;Hesperidon;;;;;;;;;;;;x
b_zau_taberna;Zau Taberna;;;;;;;;;;;;x
c_echinos;Echinos;;;;;;;;;;;;x
b_echinos;Echinos;;;;;;;;;;;;x
b_arumantos;Arumantos;;;;;;;;;;;;x
b_philonos;Philonos;;;;;;;;;;;;x
c_notia;Notia;;;;;;;;;;;;x
b_notia;Notia;;;;;;;;;;;;x
b_batrachos;Batrachos;;;;;;;;;;;;x
b_petras_mikros;Petras Mikros;;;;;;;;;;;;x
b_miceris;Miceris;;;;;;;;;;;;x
k_cyrenacia;Cyrenacia;;;;;;;;;;;;x
k_cyrenacia_adj;Cyrenacian;;;;;;;;;;;;x
d_barka;Barka;;;;;;;;;;;;x
d_barka_adj;Barkan;;;;;;;;;;;;x
d_marmarica;Marmarica;;;;;;;;;;;;x
d_marmarica_adj;Marmarican;;;;;;;;;;;;x
d_ammon;Ammon;;;;;;;;;;;;x
d_ammon_adj;Ammonian;;;;;;;;;;;;x
b_euseperides;Euseperides;;;;;;;;;;;;;x
c_ramitha;Ramitha;;;;;;;;;;;;x
b_ramitha;Ramitha;;;;;;;;;;;;x
b_ugarit;Ugarit;;;;;;;;;;;;x
b_ugarit_adj;Ugaritic;;;;;;;;;;;;x
b_sigon;Sigon;;;;;;;;;;;;x
b_posideion;Poseideion;;;;;;;;;;;;x
b_lysias;Lysias;;;;;;;;;;;;x
b_antigoni;Antigonia;;;;;;;;;;;;x
b_suksi;Suksi;;;;;;;;;;;;x
b_bargylus;Bargylus;;;;;;;;;;;;x
b_karna;Karna;;;;;;;;;;;;x
b_larissa_p;Larissa;;;;;;;;;;;;x
c_arpad;Arpad;;;;;;;;;;;;x
